Price,Close,High,Low,Open,Volume
Ticker,INDIGO.NS,INDIGO.NS,INDIGO.NS,INDIGO.NS,INDIGO.NS
Date,,,,,
2024-07-01,4222.14990234375,4281.4501953125,4212.64990234375,4276.35009765625,1761756
2024-07-02,4249.10009765625,4283.10009765625,4225.5,4234.9501953125,1070473
2024-07-03,4279.0,4285.39990234375,4245.60009765625,4275.0,598290
2024-07-04,4288.75,4324.0,4267.0498046875,4279.0,669475
2024-07-05,4322.89990234375,4345.0,4288.75,4300.0,576448
2024-07-08,4237.9501953125,4324.7998046875,4228.60009765625,4323.5498046875,385991
2024-07-09,4305.10009765625,4319.0,4220.4501953125,4240.0,433465
2024-07-10,4281.25,4314.0,4165.39990234375,4314.0,559022
2024-07-11,4320.39990234375,4330.0,4280.2001953125,4295.0,710193
2024-07-12,4331.64990234375,4368.89990234375,4285.0,4335.0,1056812
2024-07-15,4385.85009765625,4424.89990234375,4320.2001953125,4333.0,1596638
2024-07-16,4431.10009765625,4452.2998046875,4391.0,4444.0,709083
2024-07-18,4417.25,4444.0,4365.0,4409.10009765625,822843
2024-07-19,4281.39990234375,4416.0,4250.2001953125,4401.0,727696
2024-07-22,4336.5498046875,4355.0,4250.5498046875,4288.7998046875,603718
2024-07-23,4315.39990234375,4369.89990234375,4171.0498046875,4339.2001953125,722279
2024-07-24,4375.7998046875,4396.25,4296.25,4315.0,648265
2024-07-25,4432.2001953125,4467.64990234375,4335.2001953125,4350.0,1133699
2024-07-26,4493.39990234375,4510.0,4415.5,4442.60009765625,1008958
2024-07-29,4439.2998046875,4479.0,4273.2001953125,4478.0,1950730
2024-07-30,4474.0,4527.85009765625,4430.0498046875,4487.0,998970
2024-07-31,4472.2001953125,4512.0,4450.5498046875,4473.9501953125,778444
2024-08-01,4404.2998046875,4468.60009765625,4373.39990234375,4432.0,792851
2024-08-02,4312.5,4407.7998046875,4301.4501953125,4355.0,675767
2024-08-05,4220.39990234375,4300.0,4162.9501953125,4280.0,903676
2024-08-06,4261.4501953125,4337.14990234375,4250.0,4300.5498046875,992747
2024-08-07,4317.89990234375,4348.0,4278.5498046875,4348.0,477082
2024-08-08,4256.9501953125,4335.0,4241.0,4318.10009765625,374911
2024-08-09,4290.2001953125,4318.0,4273.64990234375,4305.0,503538
2024-08-12,4251.64990234375,4287.5,4225.5498046875,4270.0,1736347
2024-08-13,4227.39990234375,4319.85009765625,4219.4501953125,4269.7001953125,508342
2024-08-14,4209.89990234375,4259.0,4197.2001953125,4239.0,627078
2024-08-16,4277.7001953125,4289.89990234375,4200.0,4240.0,727461
2024-08-19,4231.9501953125,4324.89990234375,4206.14990234375,4299.7998046875,1548752
2024-08-20,4302.0498046875,4318.25,4230.0,4254.7001953125,798389
2024-08-21,4299.85009765625,4352.0,4280.5498046875,4310.0,605150
2024-08-22,4483.14990234375,4490.0,4376.0,4400.0,2341452
